Agency Type,Distribution Channel,Claim,Duration,Net Sales,Commision (in value),Age
Travel Agency,Offline,No,186,-29,9.57,81
Travel Agency,Offline,No,186,-29,9.57,71
Travel Agency,Online,No,65,-49.5,29.7,32
Travel Agency,Online,No,60,-39.6,23.76,32
Travel Agency,Online,No,79,-19.8,11.88,41
Airlines,Online,No,66,-121,42.35,44
Travel Agency,Online,No,47,-39.6,23.76,32
Travel Agency,Online,No,63,-108.9,65.34,29
Travel Agency,Online,No,57,-19.8,11.88,44
Travel Agency,Online,No,186,-99,59.4,37
Airlines,Online,No,33,-26,9.1,118
Airlines,Online,No,1,-18,6.3,47
Travel Agency,Online,No,53,-130,49.4,48
Travel Agency,Online,No,5,-39.6,23.76,64
Travel Agency,Online,No,39,-25,0,36
Travel Agency,Online,No,6,-19.8,11.88,53
Travel Agency,Online,No,48,-79.2,47.52,43
Travel Agency,Online,No,11,-29.7,17.82,58
Airlines,Online,No,3,-18,6.3,47
Travel Agency,Online,No,14,-69.3,41.58,37
Travel Agency,Online,No,136,-108.9,65.34,32
Airlines,Online,No,12,46.15,11.54,44
Airlines,Online,No,7,17.55,4.39,25
Airlines,Online,Yes,12,94,23.5,34
Airlines,Online,No,190,294.75,73.69,26
Airlines,Online,No,364,389,97.25,30
Travel Agency,Online,No,29,9.9,5.94,33
Travel Agency,Online,No,28,9.9,5.94,33
Travel Agency,Online,No,153,69.3,41.58,35
Travel Agency,Online,No,28,19.8,11.88,31
Travel Agency,Online,No,4,29.7,17.82,61
Travel Agency,Online,No,54,0,41.58,31
Travel Agency,Online,No,24,89.1,53.46,33
Travel Agency,Online,No,9,25,0,36
Travel Agency,Online,No,12,24,0,36
Travel Agency,Online,No,45,20,0,36
Travel Agency,Online,No,35,27,0,36
Travel Agency,Online,No,28,20,0,44
Travel Agency,Online,No,24,43,0,36
Travel Agency,Online,No,8,78,0,36
Travel Agency,Online,No,183,20,0,36
Travel Agency,Online,No,36,22,0,20
Travel Agency,Online,No,3,27,0,46
Travel Agency,Online,No,38,41,0,36
Travel Agency,Online,No,36,95,0,49
Travel Agency,Online,No,4,20,0,50
Travel Agency,Online,No,3,20,0,36
Travel Agency,Online,No,13,35,0,36
Travel Agency,Online,No,11,43,0,36
Travel Agency,Online,No,27,20,0,62
Travel Agency,Online,No,16,47,0,36
Travel Agency,Online,No,12,29,0,36
Travel Agency,Online,No,39,20,0,46
Travel Agency,Online,No,19,20,0,46
Travel Agency,Online,No,18,30,0,36
Travel Agency,Online,No,189,20,0,46
Travel Agency,Online,No,105,44,0,25
Travel Agency,Online,No,23,57,0,36
Travel Agency,Online,No,57,37,0,36
Travel Agency,Online,No,29,46,0,36
Travel Agency,Online,No,1,10,0,36
Travel Agency,Online,No,15,16,0,36
Travel Agency,Online,No,16,28,0,65
Travel Agency,Online,No,180,21,0,36
Travel Agency,Online,No,90,37,0,36
Travel Agency,Online,No,91,18,0,36
Travel Agency,Online,No,2,14,0,31
Travel Agency,Online,No,17,19,0,36
Travel Agency,Online,No,10,37,0,36
Travel Agency,Online,No,11,10,0,64
Travel Agency,Online,No,279,80,0,36
Travel Agency,Online,No,36,16,0,20
Travel Agency,Online,No,12,39,0,32
Travel Agency,Online,No,18,14,0,36
Travel Agency,Online,No,6,25,0,43
Travel Agency,Online,No,2,10,0,35
Travel Agency,Online,No,18,10,0,36
Travel Agency,Online,No,2,10,0,36
Travel Agency,Online,No,39,68,0,36
Travel Agency,Online,No,4,17,0,35
Travel Agency,Online,No,38,0,0,36
Travel Agency,Online,No,10,23,0,36
Travel Agency,Online,No,92,80,0,36
Travel Agency,Online,No,22,80,0,24
Travel Agency,Online,No,10,10,0,30
Travel Agency,Online,No,64,10,0,61
Travel Agency,Online,No,7,15,0,36
Travel Agency,Online,No,8,0,0,36
Travel Agency,Online,No,37,30,0,43
Travel Agency,Online,No,2,16,0,36
Travel Agency,Online,No,31,58,0,29
Travel Agency,Online,No,41,20,0,40
Travel Agency,Online,No,6,10,0,29
Travel Agency,Online,No,8,17,0,43
Travel Agency,Online,No,5,37,0,21
Travel Agency,Online,No,126,27,0,36
Travel Agency,Online,No,10,51,0,36
Travel Agency,Online,No,29,13,0,21
Travel Agency,Online,No,50,24,0,36
Travel Agency,Online,No,1,20,0,36
Travel Agency,Online,No,2,26,0,36
Travel Agency,Online,No,1,86,0,36
Travel Agency,Online,No,8,28,0,36
Travel Agency,Online,No,19,20,0,62
Travel Agency,Online,No,24,90,0,36
Airlines,Online,No,11,50,20,118
Airlines,Online,No,4,15,6,44
Airlines,Online,No,55,21.35,5.98,48
Airlines,Online,No,15,6.5,1.82,48
Airlines,Online,No,45,26,9.1,31
Airlines,Online,No,181,30,10.5,48
Airlines,Online,No,5,22,7.7,29
Airlines,Online,No,22,18,6.3,66
Airlines,Online,No,76,35,12.25,57
Airlines,Online,No,41,44,15.4,37
Airlines,Online,No,43,22,7.7,34
Airlines,Online,No,5,22,7.7,41
Airlines,Online,No,56,75.96,26.59,48
Airlines,Online,No,3,12.5,4.38,48
Airlines,Online,No,3,4.99,1.75,48
Airlines,Online,No,20,47,11.75,30
Airlines,Online,No,29,27,6.75,30
Airlines,Online,No,164,69.55,17.39,26
Airlines,Online,No,23,30.55,7.64,35
Airlines,Online,No,13,19.5,4.88,34
Airlines,Online,No,29,31.85,7.96,45
Airlines,Online,No,23,77.35,19.34,52
Travel Agency,Online,No,23,29.7,17.82,31
Travel Agency,Online,No,29,39.6,23.76,52
Travel Agency,Online,No,5,0,29.7,53
Travel Agency,Online,No,26,148.5,89.1,40
Travel Agency,Online,No,26,29.7,17.82,31
Travel Agency,Online,No,152,9.9,5.94,31
Travel Agency,Online,No,48,59.4,35.64,26
Travel Agency,Online,No,5,39.6,23.76,60
Travel Agency,Online,No,30,59.4,35.64,27
Travel Agency,Online,No,9,49.5,29.7,50
Travel Agency,Online,No,32,49.5,29.7,31
Travel Agency,Online,No,8,39.6,23.76,30
Travel Agency,Online,No,4,19.8,11.88,29
Travel Agency,Online,No,111,89.1,53.46,31
Travel Agency,Online,No,34,19.8,11.88,34
Travel Agency,Online,No,19,39.6,23.76,35
Travel Agency,Online,No,20,148.5,89.1,34
Travel Agency,Online,No,201,0,77.22,23
Travel Agency,Online,No,2,9.9,5.94,44
Travel Agency,Online,No,4,20,0,36
Travel Agency,Online,No,13,20,0,36
Travel Agency,Online,No,39,69,0,36
Travel Agency,Online,No,10,20,0,36
Travel Agency,Online,No,48,20,0,53
Travel Agency,Online,No,62,22,0,36
Travel Agency,Online,No,4,20,0,53
Travel Agency,Online,No,90,42,0,36
Travel Agency,Online,No,10,56,0,36
Travel Agency,Online,No,13,20,0,43
Travel Agency,Online,No,19,20,0,36
Travel Agency,Online,No,3,20,0,39
Travel Agency,Online,No,18,20,0,45
Travel Agency,Online,No,18,20,0,36
Travel Agency,Online,No,22,69,0,36
Travel Agency,Online,No,6,36,0,36
Travel Agency,Online,No,11,20,0,48
Travel Agency,Online,No,18,112,0,36
Travel Agency,Online,No,12,27,0,36
Travel Agency,Online,No,81,32,0,24
Travel Agency,Online,No,36,67,0,36
Travel Agency,Online,No,28,20,0,36
Travel Agency,Online,No,57,53,0,57
Travel Agency,Online,No,42,20,0,36
Travel Agency,Online,No,91,44,0,29
Travel Agency,Online,No,7,20,0,61
Travel Agency,Online,No,12,20,0,27
Travel Agency,Online,No,49,20,0,27
Travel Agency,Online,No,13,20,0,36
Travel Agency,Online,No,28,50,0,36
Travel Agency,Online,No,124,89,0,25
Travel Agency,Online,No,7,16,0,36
Travel Agency,Online,No,22,29,0,36
Travel Agency,Online,No,1,20,0,47
Travel Agency,Online,No,49,24,0,36
Travel Agency,Online,No,28,27,0,36
Travel Agency,Online,No,13,33,0,36
Travel Agency,Online,No,118,10,0,35
Travel Agency,Online,No,7,18,0,36
Travel Agency,Online,No,7,58,0,36
Travel Agency,Online,No,52,46,0,36
Travel Agency,Online,No,59,16,0,21
Travel Agency,Online,No,38,12,0,36
Travel Agency,Online,No,18,29,0,36
Travel Agency,Online,No,73,69,0,59
Travel Agency,Online,No,21,15,0,31
Travel Agency,Online,No,25,20,0,36
Travel Agency,Online,No,19,19,0,36
Travel Agency,Online,No,20,13,0,36
Travel Agency,Online,No,33,74,0,36
Travel Agency,Online,No,31,40,0,30
Travel Agency,Online,No,24,10,0,36
Travel Agency,Online,No,1,17,0,28
Travel Agency,Online,No,12,13,0,36
Travel Agency,Online,No,5,10,0,36
Travel Agency,Online,No,25,80,0,36
Travel Agency,Online,No,12,80,0,36
Travel Agency,Online,No,12,34,0,36
Travel Agency,Online,No,94,80,0,36
Travel Agency,Online,No,13,10,0,36
